BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
71.160989,1,317.1,0,317.1,0,1,0,0.9,0,0,10,1000,169.458993,149.095117,0,10
3168.902659,0.857143,0,0,0,3854.441191,0,0,0,0.285714,6,0,4200,390.289118,935.43069,0,7
1235.224095,1,637.28,10,627.28,0,1,0.083333,0.916667,0,0,13,1500,742.382146,703.203441,0,12
51.469651,0.727273,1169,0,1169,0,1,0,1,0,0,24,1900,915.66564,111.493268,0.5,12
45.160837,0.727273,0,0,0,79.46115,0,0,0,0.083333,1,0,6500,486.597254,89.975046,0,12
453.856643,1,238.75,0,238.75,0,0.571429,0,0.571429,0,0,6,1500,94.007773,106.442582,0,7
5926.922151,1,2325.75,2325.75,0,461.862131,0.5,0.5,0,0.25,3,25,13000,1489.518098,1644.757535,0,12
120.632505,0.636364,1310.2,1310.2,0,0,0.166667,0.166667,0,0,0,9,2500,576.034909,195.547987,0,12
936.370785,1,158.45,158.45,0,0,0.25,0.25,0,0,0,3,1700,160.698863,443.538283,0,12
1998.339616,1,2238,1170,1068,0,0.75,0.583333,0.416667,0,0,22,6500,1985.047114,464.932133,0,12
1425.606151,1,103,103,0,0,0.166667,0.166667,0,0,0,2,1500,590.37153,516.506067,0,12
16.848358,1,103.08,0,103.08,0,0.333333,0,0.25,0,0,4,2900,0,,0,12
6619.14864,1,35.92,0,35.92,0,0.083333,0,0.083333,0,0,1,13500,2071.643344,1797.588069,0,12
19.766484,0.363636,197.48,0,197.48,0,0.333333,0,0.25,0,0,4,16000,409.933465,164.248292,0.5,12
1462.921098,1,609.16,609.16,0,1054.286672,0.25,0.25,0,0.25,4,3,2000,506.068295,314.8002,0,12
1049.603233,1,0,0,0,438.384856,0,0,0,0.083333,1,0,1500,221.394099,276.752949,0,12
1467.162166,1,1313.26,0,1313.26,0,1,0,1,0,0,28,11500,1129.248446,429.760387,0,12
4192.143919,1,450,450,0,2480.749691,0.083333,0.083333,0,0.166667,4,1,4500,1271.396821,3642.615905,0,12
734.729977,0.727273,0,0,0,428.36939,0,0,0,0.083333,5,0,1200,1596.300157,179.245282,0.181818,12
740.231763,1,150,150,0,0,0.083333,0.083333,0,0,0,2,1800,1810.018994,371.232676,0,12
151.467852,0.75,1554.52,1229.02,325.5,231.721336,0.75,0.75,0.625,0.125,1,27,1000,2224.113144,136.729435,1,8
0.004816,0.545455,51.7,0,51.7,0,0.25,0,0.25,0,0,3,3000,33.249088,0.059481,0,12
3560.734141,1,0,0,0,1466.123982,0,0,0,0.083333,3,0,4000,886.116717,1055.467811,0,12
3200.184366,1,0,0,0,2139.707578,0,0,0,0.083333,1,0,5000,780.190463,920.718093,0,12
865.137568,1,149,0,149,1052.459725,0.272727,0,0.181818,0.181818,2,3,1200,643.503303,248.667131,0,11
0.01968,0.090909,188.02,0,188.02,0,0.5,0,0.5,0,0,6,7500,129.791835,,0,12
3267.962664,1,1910.51,0,1910.51,0,1,0,1,0,0,65,3000,2553.372888,3339.39289,0,12
5619.654569,1,2457.53,1352.63,1104.9,6088.185478,1,0.571429,0.857143,0.571429,16,35,8000,1140.70277,1824.646248,0,7
3959.912911,1,0,0,0,158.159923,0,0,0,0.333333,4,0,4000,701.794235,1641.805004,0,12
4.045339,0.363636,35,0,35,0,0.166667,0,0.166667,0,0,2,7500,122.129596,110.576473,0.25,12
411.27629,1,1524.65,1153.52,371.13,0,1,0.583333,1,0,0,51,900,626.104114,236.645745,0.083333,12
542.051302,1,4896.9,721.46,4175.44,960.975083,1,0.416667,0.916667,0.083333,2,64,2500,5338.901791,173.182819,1,12
2392.332606,1,2556.32,1566.42,989.9,4091.326388,0.583333,0.5,0.416667,0.5,14,54,6500,1336.30247,512.056995,0,12
1739.666192,1,0,0,0,2878.737758,0,0,0,0.333333,7,0,4500,5130.543752,531.071616,0.083333,12
3122.507074,1,10755.68,6488.74,4266.94,573.846921,0.916667,0.833333,0.833333,0.166667,2,151,10000,5199.074518,787.853297,0,12
5757.919072,1,5544.45,3169.2,2375.25,2722.524205,1,0.75,1,0.416667,8,59,7000,2370.147958,2411.305205,0,12
419.22185,0.454545,0,0,0,1117.228257,0,0,0,0.166667,5,0,1200,182.36345,267.413513,0,12
2837.833628,1,5541.87,1630.6,3911.27,855.232779,1,0.333333,1,0.166667,2,49,6500,3909.7339,707.239263,0,12
1706.014379,1,147.78,0,147.78,1657.090283,0.166667,0,0.166667,0.25,4,2,6000,1186.062765,374.595505,0,12
12478.17286,1,174,174,0,3269.418821,0.25,0.25,0,0.666667,21,3,14000,3251.190662,3872.099498,0,12
27.742435,0.272727,303.24,0,303.24,0,0.25,0,0.166667,0,0,3,3000,775.085467,177.669243,0,12
947.223495,1,0,0,0,648.548716,0,0,0,0.25,3,0,6500,2415.827922,3933.230932,0,12
1160.514847,1,3726.79,664,3062.79,0,1,0.083333,1,0,0,89,3000,3312.651656,310.179028,0.083333,12
1638.42534,1,0,0,0,37.921481,0,0,0,0.083333,1,0,1800,459.151425,335.813771,0,12
3.164023,0.454545,51.73,0,51.73,0,0.416667,0,0.416667,0,0,5,4000,77.666427,26.092644,0,12
129.836526,0.909091,1433.99,743.99,690,0,0.909091,0.454545,0.636364,0,0,19,4000,1363.134203,141.64886,0.875,11
204.041606,1,1173.34,1067.7,105.64,0,0.7,0.7,0.3,0,0,20,5000,871.245658,137.913285,0,10
561.974673,1,2930.99,2279,651.99,0,0.75,0.333333,0.666667,0,0,20,4000,510.35919,262.710453,0,12
972.958145,1,100,100,0,37.470292,0.083333,0.083333,0,0.166667,2,1,1000,318.226488,577.927525,0,12
11278.95243,1,6855.59,2762.92,4092.67,0,0.916667,0.75,0.833333,0,0,39,18500,4868.088671,2861.890896,0,12
4099.755913,1,0,0,0,4933.666708,0,0,0,0.75,14,0,12000,3005.016513,929.740389,0,12
307.127754,1,909.3,409.3,500,237.378894,0.583333,0.166667,0.5,0.166667,4,12,1000,943.27817,179.258575,0,12
384.803407,1,549,291,258,0,0.5,0.083333,0.416667,0,0,9,1000,569.597465,610.732047,0,12
17.415068,0.727273,147.7,0,147.7,0,0.666667,0,0.666667,0,0,14,4000,177.088102,127.799107,0.181818,12
3534.253718,1,566.28,431.01,135.27,3888.756412,0.5,0.333333,0.333333,0.083333,2,17,4000,1298.823687,858.977427,0,12
11.391553,1,201.52,0,201.52,0,0.916667,0,0.916667,0,0,11,4000,210.443741,71.701127,0.9,12
6306.501319,1,205.03,0,205.03,270.445198,0.3,0,0.3,0.1,1,3,14000,1646.635328,1705.819755,0,10
7201.736985,1,987.1,862.1,125,5468.620604,0.333333,0.333333,0.083333,0.25,16,9,10500,1941.541158,2391.987571,0,12
108.548004,1,1099.19,885.97,213.22,0,1,0.583333,0.916667,0,0,25,4000,1181.316469,174.477061,0.583333,12
21.409828,1,149.71,0,149.71,0,0.916667,0,0.916667,0,0,11,1500,141.974905,150.500248,0.166667,12
237.435762,0.909091,1270.32,1270.32,0,438.420213,0.333333,0.333333,0,0.166667,2,6,1800,1148.378687,110.252783,0,12
516.814969,1,276.52,141.96,134.56,584.976769,0.25,0.25,0.083333,0.083333,1,8,1500,927.381808,190.875362,0,12
128.25396,0.818182,1105,0,1105,0,0.75,0,0.666667,0,0,14,2500,1224.344711,132.96663,0.636364,12
174.228543,0.727273,3407.57,3276.57,131,0,0.583333,0.583333,0.166667,0,0,25,3000,4568.864048,226.156063,0.714286,12
8.27913,0.454545,670,0,670,0,1,0,1,0,0,16,2500,703.772949,43.259694,0.090909,12
2091.627351,1,4361.04,2325.83,2035.21,4224.133411,1,0.666667,1,0.833333,27,109,2500,7608.515679,915.803727,0.083333,12
8099.879299,1,2352,1161.47,1190.53,389.680166,1,0.833333,1,0.25,4,50,12500,1863.944131,1830.532435,0,12
3437.033859,1,1858.7,1858.7,0,3569.688273,0.583333,0.583333,0,0.833333,26,18,9000,6062.441603,1092.303319,0,12
1117.594403,1,291.62,0,291.62,1596.771919,1,0,0.857143,0.142857,2,7,2000,74.055925,382.846205,0,7
440.613643,1,600,600,0,0,0.125,0.125,0,0,0,1,1000,215.316424,137.846006,0,8
1838.106824,1,2682.25,2632.4,49.85,188.36824,1,1,0.083333,0.083333,1,16,4500,1891.062946,429.697372,0,12
645.299519,1,1310.84,690,620.84,76.361029,0.8,0.2,0.6,0.1,1,12,2500,1402.76066,158.916575,0,10
1350.286625,1,642.33,642.33,0,0,0.5,0.5,0,0,0,12,9000,323.683167,344.973051,0,12
282.588132,0.727273,170,170,0,0,0.083333,0.083333,0,0,0,1,5500,1499.355812,209.440652,0,12
538.768762,0.909091,226.95,129.58,97.37,452.00913,0.545455,0.090909,0.454545,0.272727,8,9,1200,946.649324,211.220001,0,11
1464.324632,1,1174.39,1174.39,0,0,0.25,0.25,0,0,0,8,9000,0,,0,12
958.920206,1,66.7,0,66.7,0,0.166667,0,0.166667,0,0,2,1000,302.656395,800.097611,0,12
1903.688611,1,6079.5,4719.5,1360,10227.22894,0.916667,0.25,0.666667,0.25,22,31,7300,18552.39489,762.263884,0.416667,12
217.10156,0.818182,2953.03,2953.03,0,0,0.166667,0.166667,0,0,0,3,5000,3123.296573,118.209566,0.125,12
49.416158,0.727273,590,350,240,0,0.583333,0.083333,0.5,0,0,7,6000,836.812414,127.768461,1,12
2479.815703,1,5812.17,5142.57,669.6,638.563709,0.916667,0.75,0.416667,0.083333,3,27,10500,4586.498256,680.37248,0,12
8.820992,0.7,91.46,91.46,0,0,0.2,0.2,0,0,0,2,1500,77.334707,46.086964,0,10
21.328087,0.545455,512.35,0,512.35,0,1,0,1,0,0,18,2000,716.296679,99.218174,0.545455,12
1699.435486,1,1363.69,1363.69,0,0,0.333333,0.333333,0,0,0,4,1700,1623.816348,923.505868,0,12
231.859622,0.888889,190,190,0,108.768879,0.111111,0.111111,0,0.111111,2,1,1200,119.940752,128.955873,0,9
3139.267322,1,5393.36,2094.44,3298.92,0,1,0.583333,1,0,0,86,3000,4173.119357,5573.463031,0,12
458.958269,0.363636,492.72,0,492.72,0,1,0,1,0,0,12,6000,2111.788889,199.91768,0,12
39.469095,0.636364,418.97,0,418.97,0,1,0,1,0,0,30,3000,655.157042,109.865935,0,12
208.131845,1,2161.38,451.5,1709.88,0,1,0.166667,1,0,0,41,4500,2059.879468,165.05215,1,12
279.225789,1,2800.12,0,2800.12,0,1,0,1,0,0,44,6000,2515.127273,167.108694,0.666667,12
4413.803457,1,0,0,0,2007.044461,0,0,0,0.666667,11,0,5000,1305.912583,1423.184018,0,12
85.900738,1,0,0,0,278.348105,0,0,0,0.25,3,0,500,193.747321,146.858723,0,12
165.808096,0.714286,981.19,823.39,157.8,0,0.714286,0.571429,0.285714,0,0,16,9000,672.446893,105.350665,0.25,7
3193.320102,1,1887.25,1103.23,784.02,0,1,0.833333,1,0,0,48,10500,8817.138726,662.651314,0.166667,12
2705.899439,1,0,0,0,547.055908,0,0,0,0.166667,2,0,8500,1123.974128,654.870661,0,12
25.095678,0.888889,177.76,0,177.76,0,0.888889,0,0.777778,0,0,8,1500,138.239594,130.345404,0.285714,9
97.649883,0.454545,1092.59,673.11,419.48,0,1,0.166667,1,0,0,26,18000,1399.323719,108.410954,0.090909,12
537.491488,1,1672.99,972.01,700.98,0,0.583333,0.416667,0.416667,0,0,25,1600,1306.526458,968.817429,0.25,12
11.047149,0.545455,180.5,0,180.5,0,0.5,0,0.333333,0,0,8,4000,269.952974,173.696638,0.75,12
1337.57386,1,0,0,0,36.473828,0,0,0,0.083333,1,0,3000,395.385249,324.284676,0,12
0.437285,0.181818,6.9,6.9,0,0,0.083333,0.083333,0,0,0,1,8500,4.523555,4.763689,0,12
3879.064446,1,9796.28,9536.28,260,1959.013493,1,0.833333,0.583333,0.166667,2,45,19000,12667.90527,968.363741,0.333333,12
113.122729,1,987.23,0,987.23,0,1,0,1,0,0,17,2500,1081.54001,179.8235,1,12
5774.207136,1,2102.51,721.67,1380.84,3536.320402,0.916667,0.333333,0.916667,0.083333,7,37,15000,4711.567357,1308.759437,0,12
470.91505,1,907.5,574.5,333,0,0.583333,0.166667,0.333333,0,0,10,1500,1065.270854,187.996032,0,12
4663.032241,1,1325.31,1325.31,0,0,0.333333,0.333333,0,0,0,5,4500,2064.110786,6004.094182,0,12
2471.904646,1,1590.58,1590.58,0,283.730479,0.583333,0.583333,0,0.166667,2,35,6500,813.995856,622.038869,0,12
0,0,990,0,990,0,0.818182,0,0.818182,0,0,9,1500,0,,0,11
2713.749041,1,0,0,0,318.035084,0,0,0,0.333333,4,0,3000,664.635735,880.427416,0,12
229.272651,0.363636,0,0,0,751.963727,0,0,0,0.083333,1,0,1200,12.773144,312.967911,0,12
2182.907415,1,0,0,0,210.601451,0,0,0,0.083333,1,0,2500,586.800064,813.633917,0,12
7.777595,0.454545,66.25,0,66.25,0,0.416667,0,0.333333,0,0,5,2000,129.109877,138.717776,0.333333,12
2155.276706,1,66,66,0,5478.844017,0.083333,0.083333,0,0.75,30,1,5000,5100.05147,566.549873,0.083333,12
255.628716,1,2525.88,1640.96,884.92,0,1,0.583333,1,0,0,47,6000,1936.907938,198.598427,0.416667,12
2388.030134,1,3832.98,2004.03,1828.95,1441.065248,1,1,1,0.083333,1,90,11000,5990.39237,600.897569,0.083333,12
2046.306856,1,1942.39,1608.95,333.44,1488.710959,1,0.833333,0.666667,0.166667,4,26,4000,1400.972622,455.333953,0,12
1155.787246,1,142,12,130,178.259834,0.416667,0.083333,0.333333,0.083333,1,5,1200,429.827489,522.914621,0,12
2989.558429,1,0,0,0,4172.785661,0,0,0,0.583333,15,0,6000,894.936707,1083.032123,0,12
2071.951442,1,2090.21,0,2090.21,0,1,0,1,0,0,80,2500,1326.995454,556.63142,0,12
5239.120768,1,1823.23,1823.23,0,0,0.75,0.75,0,0,0,14,5750,2107.740768,2658.139243,0,12
650.485202,1,555.2,339,216.2,589.349657,0.583333,0.083333,0.416667,0.083333,1,8,1000,351.575597,610.833365,0,12
312.928384,1,0,0,0,1800.188812,0,0,0,0.083333,1,0,2800,28.380195,193.738387,0,12
1089.475719,1,0,0,0,287.364895,0,0,0,0.083333,1,0,3000,373.306733,231.573591,0,12
97.16839,1,1639.92,0,1639.92,0,1,0,1,0,0,12,2150,1620.285733,1555.793076,0.083333,12
2837.962185,1,898.2,898.2,0,958.26211,0.416667,0.416667,0,0.416667,5,10,5000,641.182454,659.255972,0,12
2269.978054,0.909091,0,0,0,3617.843539,0,0,0,0.272727,4,0,3500,745.982616,576.331228,0,11
1198.763306,1,0,0,0,57.645727,0,0,0,0.083333,2,0,1200,128.39674,7464.326611,0,12
45.869314,0.363636,0,0,0,566.943998,0,0,0,0.25,10,0,4500,238.152441,123.753834,0,12
4719.819043,1,2143.73,1292.78,850.95,146.547709,0.5,0.416667,0.333333,0.083333,1,28,12500,1031.151095,1032.193959,0,12
1355.437063,1,0,0,0,407.884977,0,0,0,0.25,6,0,1500,642.558759,412.70964,0,12
8.258214,0.545455,92.46,0,92.46,0,0.5,0,0.416667,0,0,6,300,127.082375,93.717243,0.75,12
21.441736,0.636364,197.62,0,197.62,0,0.5,0,0.5,0,0,6,4000,398.382513,153.645248,1,12
852.001697,0.727273,372.36,0,372.36,1655.625508,0.416667,0,0.416667,0.166667,3,5,4000,347.937039,262.219868,0,12
49.920897,1,400.19,400.19,0,0,1,1,0,0,0,14,8500,363.703322,177.221407,0.727273,12
1575.327024,1,0,0,0,1903.985872,0,0,0,0.75,21,0,3500,628.807815,323.958821,0,12
1055.833418,1,351.54,61.54,290,0,1,0.083333,0.916667,0,0,13,3000,585.022975,251.539573,0,12
134.687754,1,2395.92,0,2395.92,0,1,0,1,0,0,12,3500,2440.778198,2164.692811,0.916667,12
17.896575,0.909091,265.97,0,265.97,0,1,0,0.916667,0,0,14,1000,224.528678,120.554003,0.545455,12
155.644239,0.727273,1626.83,828.85,797.98,0,0.75,0.75,0.166667,0,0,17,13000,1924.101393,123.522314,0.571429,12
94.307698,1,343.99,0,343.99,0,1,0,0.888889,0,0,17,1000,327.62139,125.3494,0,9
69.4432,1,368.16,0,368.16,0,1,0,1,0,0,32,2500,153.124113,143.416453,0.083333,12
168.516873,0.666667,364.8,364.8,0,0,0.333333,0.333333,0,0,0,4,500,102.839528,121.749604,0,9
0,0,631.2,0,631.2,0,1,0,1,0,0,12,4000,861.744611,,0,12
61.653547,0.454545,1194.22,0,1194.22,0,0.666667,0,0.666667,0,0,20,3777.777778,1775.371596,101.147508,0,12
421.796337,1,2748.74,1623.74,1125,0,1,1,0.666667,0,0,48,4500,2684.86037,169.599243,0.25,12
1073.370435,0.818182,824.77,377.81,446.96,1214.495468,0.666667,0.416667,0.5,0.333333,6,25,1800,534.728641,892.117717,0,12
50.302615,0.636364,0,0,0,575.797773,0,0,0,0.166667,2,0,500,511.341658,186.033645,0,12
14.9447,0.636364,381.5,0,381.5,0,0.583333,0,0.583333,0,0,7,3000,602.003541,124.074597,0.666667,12
626.359675,1,2102.13,1091.37,1010.76,1578.03608,1,0.833333,0.916667,0.5,23,45,1000,3537.414389,228.297707,0.272727,12
379.619245,0.857143,0,0,0,484.443319,0,0,0,0.142857,3,0,500,93.745897,148.248169,0,7
342.76107,1,20,20,0,148.074839,0.083333,0.083333,0,0.25,3,1,500,507.859879,198.241326,0,12
152.227891,1,946,536,410,0,0.75,0.25,0.416667,0,0,18,6500,804.255916,169.229664,0.2,12
18.105265,1,244.92,0,244.92,0,1,0,1,0,0,12,2500,221.798291,179.182583,0.333333,12
1382.310939,1,0,0,0,189.624301,0,0,0,0.5,6,0,1500,381.094555,462.715637,0,12
150.351606,1,352.92,352.92,0,0,0.333333,0.333333,0,0,0,4,3100,0,,0,12
7.146747,0.272727,60,0,60,0,0.083333,0,0.083333,0,0,2,3000,231.681868,114.544794,1,12
2584.617366,1,0,0,0,385.424519,0,0,0,0.3,3,0,3000,3206.865961,557.973185,0,10
28.178604,0.909091,208.6,0,208.6,0,0.833333,0,0.75,0,0,10,1000,186.560331,166.048636,0.375,12
878.010252,0.833333,4085.23,3705.15,380.08,0,0.833333,0.833333,0.666667,0,0,43,20000,4036.028203,109.759102,1,6
686.623746,1,422.21,149,273.21,729.332469,1,0.333333,0.833333,0.166667,2,11,1000,416.560172,82.401461,0,6
2386.932058,1,861.79,181.81,679.98,457.699229,0.333333,0.166667,0.166667,0.083333,1,7,6000,6532.686986,634.388953,0.083333,12
1241.565972,1,3637.75,3396.25,241.5,6419.421654,0.833333,0.583333,0.5,0.333333,8,26,7000,8754.779769,407.886506,0.416667,12
1647.990537,1,127.46,127.46,0,0,0.083333,0.083333,0,0,0,2,3500,414.257207,486.378735,0,12
2807.729258,1,0,0,0,109.708511,0,0,0,0.166667,2,0,3000,616.424424,985.64549,0,12
931.047119,1,494,444,50,0,0.333333,0.25,0.083333,0,0,7,4000,415.139393,354.783499,0,12
2135.365916,1,0,0,0,1884.671403,0,0,0,0.166667,3,0,3000,565.655851,659.678948,0,12
49.022296,1,480.27,0,480.27,0,1,0,1,0,0,37,2500,636.766732,179.232469,1,12
5.260527,0.272727,263.16,0,263.16,0,0.416667,0,0.333333,0,0,7,6000,385.107859,43.89699,0.2,12
874.203747,1,232.8,232.8,0,331.57572,0.25,0.25,0,0.083333,1,5,3000,1473.641228,328.114324,0.083333,12
2447.783112,1,431.96,290,141.96,0,0.583333,0.166667,0.416667,0,0,9,2500,740.165746,1096.264703,0,12
59.831187,0.727273,532.68,0,532.68,39.325487,0.666667,0,0.666667,0.083333,1,8,6000,642.925821,115.36213,0.272727,12
4315.123399,1,3927.58,2238.34,1689.24,0,1,0.416667,1,0,0,21,11000,1518.432988,1317.32547,0,12
5559.733773,1,930,0,930,3639.817554,0.416667,0,0.333333,0.416667,14,13,7500,2519.858893,2376.25517,0,12
4570.04875,1,888.98,888.98,0,1825.929322,0.416667,0.416667,0,0.166667,2,7,6000,1179.34586,1200.960907,0,12
1975.349966,1,1749.72,1300.48,449.24,3738.635191,0.75,0.333333,0.5,0.25,8,24,6000,6481.117394,734.982596,0.083333,12
257.997181,1,1020.47,185,835.47,0,0.916667,0.083333,0.916667,0,0,27,6500,1099.15757,163.155119,0,12
3782.000774,1,60,60,0,104.521972,0.083333,0.083333,0,0.083333,1,1,5000,894.056461,876.236347,0,12
2072.457624,1,17409.21,11263.17,6146.04,0,1,1,1,0,0,175,19500,19517.1616,517.324081,0.333333,12
2083.900081,1,0,0,0,1116.430456,0,0,0,0.166667,6,0,5500,465.698012,602.277885,0,12
189.12074,0.909091,1051.1,0,1051.1,0,0.833333,0,0.833333,0,0,13,3000,1301.155857,168.227161,0.375,12
1613.321542,1,252,252,0,0,0.166667,0.166667,0,0,0,3,1800,833.515706,592.475313,0,12
184.007838,1,526.92,0,526.92,0,1,0,1,0,0,12,1500,396.991301,180.5486,0.083333,12
42.68579,0.909091,708,326,382,0,0.75,0.166667,0.5,0,0,20,3000,755.300687,149.306085,0.625,12
676.221211,1,125,0,125,0,0.454545,0,0.454545,0,0,5,1000,340.888872,204.474576,0,11
